dataset,feature,feature_type,ratio,perm_p,perm_z,ai_doc_count
ai7,分担,lexical,0.37159126438436646,0.000999000999000999,4.4071305818874755,16.0
ai7,ユーザビリティー-usability,lexical,0.15480593413849353,0.3786213786213786,0.16682722329148136,17.0
ai7,定期,lexical,0.341006332012756,0.000999000999000999,4.915579741826622,116.0
ai7,配分,lexical,0.38491594506982774,0.001998001998001998,4.475703504177003,13.0
ai7,Not,lexical,0.17005468158925977,0.2897102897102897,0.48733056390613305,16.0
ai7,feat,lexical,0.3785360132823593,0.00999000999000999,3.598413685414988,9.0
ai7,一貫,lexical,0.4744916147475218,0.000999000999000999,8.257923650042185,89.0
ai7,現代,lexical,0.7341185864374287,0.000999000999000999,14.810844821400805,53.0
ai7,TLS,lexical,0.41097849472070974,0.000999000999000999,4.712606166585358,12.0
ai7,認可,lexical,0.2657139545448403,0.004995004995004995,3.1243819639374184,46.0
ai7,PATCH,lexical,0.23489371096811612,0.03396603396603397,2.0626189833174964,23.0
ai7,Integration,lexical,0.14149287840213554,0.44955044955044954,0.0015569949915600558,23.0
ai7,Foreign,lexical,0.2655156426816279,0.028971028971028972,1.7689497634988054,10.0
ai7,進捗,lexical,0.26899938349005376,0.003996003996003996,3.157839383688285,37.0
ai7,保つ,lexical,0.4042851454865038,0.000999000999000999,6.625636864740671,91.0
ai7,継続,lexical,0.5877461839912766,0.000999000999000999,10.894777736869132,132.0
ai7,レビュー-review,lexical,0.2752419094577036,0.002997002997002997,3.6521587312470367,116.0
ai7,インテグレーション-integration,lexical,0.2378548723501081,0.02097902097902098,2.3348906096044733,37.0
ai7,予期,lexical,0.15533926591494313,0.37162837162837165,0.30746389410346375,26.0
ai7,向上,lexical,0.4901766602970274,0.000999000999000999,8.65593389653912,220.0
ai7,Jenkins,lexical,0.16732691075858722,0.24875124875124874,0.6811111377182623,32.0
ai7,アプローチ-approach,lexical,0.2765193121820339,0.001998001998001998,3.2970266651842675,49.0
ai7,数値,lexical,0.3144838256101544,0.011988011988011988,2.907044563625432,12.0
ai7,確保,lexical,0.20160353186509047,0.053946053946053944,1.6839713080203056,91.0
ai7,CI,lexical,0.5037423192253676,0.000999000999000999,9.086006817144376,118.0
ai7,発見,lexical,0.2891786542746875,0.000999000999000999,3.65294781404285,88.0
ai7,名詞,lexical,0.20544376389764563,0.1018981018981019,1.291636055252562,19.0
ai7,セキュリティー-security,lexical,0.34845414222165855,0.000999000999000999,5.184052611558196,145.0
ai7,ハンドリング-handling,lexical,0.199580785300913,0.0939060939060939,1.344427176725036,37.0
ai7,ソフトウェア-software,lexical,0.36124391158339664,0.000999000999000999,5.588676320330232,138.0
ai7,策定,lexical,0.23501881426457003,0.02097902097902098,2.197884060910893,33.0
ai7,Bad,lexical,0.18713439086640282,0.2217782217782218,0.7405936466783641,14.0
ai7,コミュニケーション-communication,lexical,0.10560823268283662,0.7602397602397603,-0.7631921139325846,73.0
ai7,Docker,lexical,0.10775000977335379,0.7472527472527473,-0.6948815440689888,70.0
ai7,クロース-cloth,lexical,0.2502167773443193,0.017982017982017984,2.4388417163493354,28.0
ai7,ORM,lexical,0.23086385645895877,0.06993006993006994,1.5313222847769796,16.0
ai7,バリデーション-validation,lexical,0.28450716735804144,0.002997002997002997,3.3016814584081233,28.0
ai7,Representational,lexical,0.17127770281306792,0.2947052947052947,0.532321547401583,16.0
ai7,実施,lexical,0.20441295104937113,0.060939060939060936,1.6336487100688188,102.0
ai7,フィードバック-feedback,lexical,0.36721825908509165,0.000999000999000999,5.679209534079988,79.0
ai7,両立,lexical,0.5696478413525021,0.000999000999000999,8.520141130430241,17.0
ai7,Canary,lexical,0.5872731963596969,0.000999000999000999,5.92509093403227,6.0
ai7,品質,lexical,0.3999590419975007,0.000999000999000999,6.472046646554949,172.0
ai7,正規,lexical,0.15804927166552799,0.33466533466533466,0.4123819528122129,33.0
ai7,プロセス-process,lexical,0.3055254880983837,0.000999000999000999,4.256638427527827,156.0
ai7,設ける,lexical,0.2352439102510186,0.01898101898101898,2.2921979123940175,38.0
ai7,デリバリー-delivery,lexical,0.31784963416868195,0.001998001998001998,4.065539737973101,27.0
ai7,Teams,lexical,0.22975295305495883,0.08091908091908091,1.4826654883703576,13.0
ai7,Content,lexical,0.18047265379588032,0.17482517482517482,0.9236790059770933,28.0
ai7,バランス-balance,lexical,0.16854187953477562,0.22577422577422576,0.7122855572950455,36.0
ai7,JUnit,lexical,0.17514106092009132,0.4085914085914086,0.2103923859675036,11.0
ai7,リソース-resource,lexical,0.1430703549992155,0.4275724275724276,0.15283504435360504,114.0
ai7,統一,lexical,0.4408781919661909,0.000999000999000999,7.513212023234765,78.0
ai7,左右,lexical,0.2559242464093877,0.027972027972027972,2.22202285789533,18.0
ai7,ポータビリティー,lexical,0.2581370875603313,0.0959040959040959,1.3743696213117487,9.0
ai7,デーリー-daily,lexical,0.21049543117191005,0.2057942057942058,0.7844628334296027,9.0
ai7,保守,lexical,0.49442072589589703,0.000999000999000999,8.817327045775817,77.0
ai7,改善,lexical,0.26025256067650254,0.001998001998001998,2.927654189791275,157.0
ai7,規約,lexical,0.2926422475190289,0.000999000999000999,3.731514743714935,38.0
ai7,以内,lexical,0.43926555068460654,0.000999000999000999,6.6348026005556155,32.0
ai7,Request,lexical,0.20843382361012994,0.059940059940059943,1.6895780423075804,37.0
ai7,規則,lexical,0.2756173494785716,0.005994005994005994,3.0198065249726924,37.0
ai7,定める,lexical,0.24727430050657542,0.02097902097902098,2.433574060651194,36.0
ai7,可読,lexical,0.27355599424158705,0.002997002997002997,3.2880993427924636,57.0
ai7,徹底,lexical,0.17035398906171406,0.24075924075924077,0.7239438121662735,40.0
ai7,効率,lexical,0.4192346925381432,0.000999000999000999,6.92644385456833,193.0
ai7,シューティング-shooting,lexical,0.2554759519032494,0.016983016983016984,2.299989615725495,17.0
ai7,コーディング-coding,lexical,0.1896687678824404,0.1108891108891109,1.2402526105947262,45.0
ai7,姿勢,lexical,0.14585772174656775,0.5554445554445554,-0.10803101127648045,15.0
ai7,促進,lexical,0.18597650501034663,0.15284715284715283,1.0523973066827093,30.0
ai7,防ぐ,lexical,0.34573285695828576,0.000999000999000999,5.278094674459522,74.0
