condition,repeat,fold,features,auc,n_words
lenadj,3,2,lexical,0.9584789311408016,1548
lenadj,3,2,rhythm,0.8007194244604317,0
lenadj,3,2,combined,0.9656731757451181,1548
lenadj,3,3,length_only,0.8058581706063721,0
lenadj,3,3,lexical,0.9794450154162384,1538
lenadj,3,3,rhythm,0.7708119218910586,0
lenadj,3,3,combined,0.9810894141829394,1538
lenadj,3,4,length_only,0.8119218910585817,0
lenadj,3,4,lexical,0.9677286742034943,1498
lenadj,3,4,rhythm,0.8615621788283659,0
lenadj,3,4,combined,0.9788283658787256,1498
lenadj,4,0,length_only,0.7810204081632652,0
lenadj,4,0,lexical,0.9602040816326531,1558
lenadj,4,0,rhythm,0.8279591836734693,0
lenadj,4,0,combined,0.966734693877551,1558
lenadj,4,1,length_only,0.8490236382322713,0
lenadj,4,1,lexical,0.9758478931140802,1541
lenadj,4,1,rhythm,0.808016443987667,0
lenadj,4,1,combined,0.9792394655704009,1541
lenadj,4,2,length_only,0.7757451181911613,0
lenadj,4,2,lexical,0.9783144912641315,1547
lenadj,4,2,rhythm,0.8440904419321685,0
lenadj,4,2,combined,0.9886947584789312,1547
lenadj,4,3,length_only,0.8153134635149024,0
lenadj,4,3,lexical,0.9780061664953751,1504
lenadj,4,3,rhythm,0.7954779033915724,0
lenadj,4,3,combined,0.9805755395683453,1504
lenadj,4,4,length_only,0.8249743062692704,0
lenadj,4,4,lexical,0.9602261048304214,1551
lenadj,4,4,rhythm,0.7856115107913669,0
lenadj,4,4,combined,0.9754367934224049,1551
lenadj,5,0,length_only,0.8076530612244898,0
lenadj,5,0,lexical,0.9635714285714285,1526
lenadj,5,0,rhythm,0.8461224489795919,0
lenadj,5,0,combined,0.9768367346938777,1526
lenadj,5,1,length_only,0.7989722507708119,0
lenadj,5,1,lexical,0.9821171634121275,1547
lenadj,5,1,rhythm,0.8474820143884891,0
lenadj,5,1,combined,0.9850976361767728,1547
lenadj,5,2,length_only,0.8043165467625899,0
lenadj,5,2,lexical,0.978108941418294,1506
lenadj,5,2,rhythm,0.8027749229188078,0
lenadj,5,2,combined,0.9804727646454265,1506
lenadj,5,3,length_only,0.8305241521068859,0
lenadj,5,3,lexical,0.9730729701952723,1529
lenadj,5,3,rhythm,0.7641315519013362,0
lenadj,5,3,combined,0.9770811921891058,1529
lenadj,5,4,length_only,0.8099691675231243,0
lenadj,5,4,lexical,0.9821171634121275,1562
lenadj,5,4,rhythm,0.7779033915724562,0
lenadj,5,4,combined,0.9813977389516957,1562
lenadj,6,0,length_only,0.8023469387755102,0
lenadj,6,0,lexical,0.9475510204081633,1570
lenadj,6,0,rhythm,0.7296938775510204,0
lenadj,6,0,combined,0.9485714285714285,1570
lenadj,6,1,length_only,0.8356628982528264,0
lenadj,6,1,lexical,0.9676258992805755,1543
lenadj,6,1,rhythm,0.8194244604316547,0
lenadj,6,1,combined,0.975950668036999,1543
lenadj,6,2,length_only,0.8271325796505653,0
lenadj,6,2,lexical,0.9815005138746146,1514
lenadj,6,2,rhythm,0.8220966084275438,0
lenadj,6,2,combined,0.9883864337101747,1514
lenadj,6,3,length_only,0.8345323741007195,0
lenadj,6,3,lexical,0.980781089414183,1529
lenadj,6,3,rhythm,0.8171634121274408,0
lenadj,6,3,combined,0.9868448098663926,1529
lenadj,6,4,length_only,0.755087358684481,0
lenadj,6,4,lexical,0.9825282631038027,1537
lenadj,6,4,rhythm,0.8503597122302158,0
lenadj,6,4,combined,0.9847893114080164,1537
lenadj,7,0,length_only,0.8509183673469388,0
lenadj,7,0,lexical,0.9874489795918366,1555
lenadj,7,0,rhythm,0.7694897959183673,0
lenadj,7,0,combined,0.9911224489795919,1555
lenadj,7,1,length_only,0.8362795477903391,0
lenadj,7,1,lexical,0.9662898252826311,1529
lenadj,7,1,rhythm,0.8427543679342241,0
lenadj,7,1,combined,0.976464542651593,1529
lenadj,7,2,length_only,0.803802672147996,0
lenadj,7,2,lexical,0.9527235354573483,1517
lenadj,7,2,rhythm,0.8133607399794449,0
lenadj,7,2,combined,0.96896197327852,1517
lenadj,7,3,length_only,0.7645426515930113,0
lenadj,7,3,lexical,0.9901336073997945,1551
lenadj,7,3,rhythm,0.8169578622816033,0
lenadj,7,3,combined,0.991983556012333,1551
lenadj,7,4,length_only,0.7974306269270298,0
lenadj,7,4,lexical,0.9728674203494347,1555
lenadj,7,4,rhythm,0.7773895169578624,0
lenadj,7,4,combined,0.9682425488180884,1555
lenadj,8,0,length_only,0.8405102040816327,0
lenadj,8,0,lexical,0.9733673469387756,1492
lenadj,8,0,rhythm,0.821530612244898,0
lenadj,8,0,combined,0.9854081632653061,1492
lenadj,8,1,length_only,0.8125385405960945,0
lenadj,8,1,lexical,0.9784172661870504,1518
lenadj,8,1,rhythm,0.8140801644398767,0
lenadj,8,1,combined,0.9850976361767728,1518
lenadj,8,2,length_only,0.8010277492291881,0
lenadj,8,2,lexical,0.9776978417266187,1583
lenadj,8,2,rhythm,0.7902363823227132,0
lenadj,8,2,combined,0.983453237410072,1583
lenadj,8,3,length_only,0.7926002055498459,0
lenadj,8,3,lexical,0.9820143884892086,1521
lenadj,8,3,rhythm,0.8466598150051388,0
lenadj,8,3,combined,0.9882836587872559,1521
lenadj,8,4,length_only,0.7998972250770813,0
lenadj,8,4,lexical,0.9647482014388489,1562
lenadj,8,4,rhythm,0.8080164439876669,0
lenadj,8,4,combined,0.9683453237410071,1562
lenadj,9,0,length_only,0.8294897959183674,0
lenadj,9,0,lexical,0.9639795918367347,1538
lenadj,9,0,rhythm,0.8179591836734694,0
lenadj,9,0,combined,0.9717346938775511,1538
lenadj,9,1,length_only,0.8480986639260021,0
lenadj,9,1,lexical,0.9699897225077081,1467
lenadj,9,1,rhythm,0.8100719424460432,0
lenadj,9,1,combined,0.9784172661870503,1467
lenadj,9,2,length_only,0.7854059609455293,0
lenadj,9,2,lexical,0.9782117163412128,1539
lenadj,9,2,rhythm,0.8250770811921891,0
lenadj,9,2,combined,0.9809866392600206,1539
lenadj,9,3,length_only,0.794141829393628,0
lenadj,9,3,lexical,0.9723535457348407,1586
lenadj,9,3,rhythm,0.7874614594039054,0
lenadj,9,3,combined,0.9799588900308325,1586
lenadj,9,4,length_only,0.7946557040082219,0
lenadj,9,4,lexical,0.9795477903391572,1553
lenadj,9,4,rhythm,0.8223021582733814,0
lenadj,9,4,combined,0.9831449126413155,1553
lenadj,10,0,length_only,0.7859183673469387,0
lenadj,10,0,lexical,0.9776530612244898,1570
lenadj,10,0,rhythm,0.7769387755102042,0
lenadj,10,0,combined,0.9843877551020408,1570
lenadj,10,1,length_only,0.7795477903391573,0
lenadj,10,1,lexical,0.9700924974306269,1556
lenadj,10,1,rhythm,0.8507708119218911,0
lenadj,10,1,combined,0.9832476875642343,1556
lenadj,10,2,length_only,0.8039054470709148,0
lenadj,10,2,lexical,0.9800616649537512,1554
lenadj,10,2,rhythm,0.796813977389517,0
lenadj,10,2,combined,0.980781089414183,1554
lenadj,10,3,length_only,0.821377183967112,0
lenadj,10,3,lexical,0.9751284686536484,1544
lenadj,10,3,rhythm,0.7628982528263104,0
lenadj,10,3,combined,0.9744090441932168,1544
lenadj,10,4,length_only,0.8659815005138747,0
lenadj,10,4,lexical,0.9750256937307297,1511
lenadj,10,4,rhythm,0.8624871531346351,0
lenadj,10,4,combined,0.9832476875642344,1511
lenadj,11,0,length_only,0.7720408163265305,0
lenadj,11,0,lexical,0.9744897959183674,1552
lenadj,11,0,rhythm,0.8004081632653062,0
lenadj,11,0,combined,0.9781632653061224,1552
lenadj,11,1,length_only,0.8320657759506681,0
lenadj,11,1,lexical,0.9749229188078109,1500
lenadj,11,1,rhythm,0.8429599177800616,0
lenadj,11,1,combined,0.9808838643371017,1500
lenadj,11,2,length_only,0.8334018499486127,0
lenadj,11,2,lexical,0.9830421377183967,1538
lenadj,11,2,rhythm,0.8334018499486125,0
lenadj,11,2,combined,0.9914696813977389,1538
lenadj,11,3,length_only,0.7947584789311409,0
lenadj,11,3,lexical,0.9696813977389518,1527
lenadj,11,3,rhythm,0.7942446043165468,0
lenadj,11,3,combined,0.9779033915724563,1527
lenadj,11,4,length_only,0.8206577595066804,0
lenadj,11,4,lexical,0.9699897225077082,1576
lenadj,11,4,rhythm,0.7817060637204523,0
lenadj,11,4,combined,0.9758478931140802,1576
lenadj,12,0,length_only,0.8059183673469388,0
lenadj,12,0,lexical,0.9831632653061224,1525
lenadj,12,0,rhythm,0.8327551020408163,0
lenadj,12,0,combined,0.9920408163265306,1525
lenadj,12,1,length_only,0.8312435765673176,0
lenadj,12,1,lexical,0.9702980472764645,1516
lenadj,12,1,rhythm,0.7803699897225077,0
lenadj,12,1,combined,0.9688591983556013,1516
lenadj,12,2,length_only,0.8022610483042137,0
lenadj,12,2,lexical,0.9682425488180884,1549
lenadj,12,2,rhythm,0.8027749229188078,0
lenadj,12,2,combined,0.9710174717368962,1549
lenadj,12,3,length_only,0.8226104830421377,0
lenadj,12,3,lexical,0.978622816032888,1489
lenadj,12,3,rhythm,0.7852004110996917,0
lenadj,12,3,combined,0.9870503597122302,1489
lenadj,12,4,length_only,0.7995889003083249,0
lenadj,12,4,lexical,0.9715313463514903,1569
lenadj,12,4,rhythm,0.86896197327852,0
lenadj,12,4,combined,0.9765673175745118,1569
lenadj,13,0,length_only,0.803469387755102,0
lenadj,13,0,lexical,0.9737755102040816,1585
lenadj,13,0,rhythm,0.8260204081632654,0
lenadj,13,0,combined,0.9793877551020408,1585
lenadj,13,1,length_only,0.82672147995889,0
lenadj,13,1,lexical,0.9746145940390545,1552
lenadj,13,1,rhythm,0.737410071942446,0
lenadj,13,1,combined,0.9696813977389517,1552
lenadj,13,2,length_only,0.8182939362795478,0
lenadj,13,2,lexical,0.9656731757451182,1520
lenadj,13,2,rhythm,0.8199383350462487,0
lenadj,13,2,combined,0.9710174717368962,1520
lenadj,13,3,length_only,0.8221993833504625,0
lenadj,13,3,lexical,0.9680369989722508,1521
lenadj,13,3,rhythm,0.8670092497430627,0
lenadj,13,3,combined,0.9784172661870505,1521
lenadj,13,4,length_only,0.7866392600205551,0
lenadj,13,4,lexical,0.9763617677286742,1536
lenadj,13,4,rhythm,0.8013360739979445,0
lenadj,13,4,combined,0.9892086330935251,1536
lenadj,14,0,length_only,0.8084693877551021,0
lenadj,14,0,lexical,0.9706122448979592,1514
