word,old_excess_score,old_sig_bonferroni,old_direction,ai_doc_count,human_doc_count,p_ai,q_human,ratio_r,delta,r_ci_low,r_ci_high,delta_ci_low,delta_ci_high,chi2_doc,p_value,q_fdr,p_bonferroni,sig_fdr,sig_bonferroni,new_direction,survives_fdr,survives_bonferroni,survives_ci
ESLint,10.4831,True,excess,17,6,0.051282,0.009986,5.1355,0.041296,2.4964,14.6541,0.018504,0.064096,15.6082,7.791603847562368e-05,0.0003161701416697597,0.13121060879295027,True,False,excess,True,False,True
HTTPS,10.4133,True,excess,37,21,0.108262,0.031384,3.4496,0.076878,2.1259,5.9915,0.045527,0.112481,24.201,8.678523790941435e-07,5.295157269545426e-06,0.0014614634063945377,True,True,excess,True,True,True
心掛ける,10.348,True,excess,47,14,0.136752,0.021398,6.3909,0.115354,3.9943,11.3838,0.078317,0.155284,53.6256,2.4257282763595366e-13,3.747638915036201e-12,4.0849264173894595e-10,True,True,excess,True,True,True
ロギング-Longging,10.348,True,excess,19,8,0.05698,0.012839,4.4381,0.044141,2.1398,9.9957,0.019919,0.069782,15.4387,8.522676069192782e-05,0.0003425342840219724,0.14352186500520644,True,False,excess,True,False,True
Created,10.2298,True,excess,14,4,0.042735,0.007133,5.9915,0.035602,2.6629,18.6484,0.015659,0.056972,14.3078,0.00015522234065243977,0.000596790917029015,0.2613944216587086,True,False,excess,True,False,True
インジェクション-injection,10.2129,True,excess,34,15,0.099715,0.022825,4.3688,0.076891,2.6325,8.2105,0.048392,0.112509,28.3886,9.924926918885556e-08,6.712279892129831e-07,0.00016713576931403278,True,True,excess,True,True,True
セグメント-segment,10.1761,True,excess,2,4,0.008547,0.007133,1.1983,0.001414,0.2853,3.9943,-0.007141,0.011388,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
xx,10.0328,True,excess,6,4,0.019943,0.007133,2.796,0.01281,0.9986,7.9886,-1.2e-05,0.02706,2.1328,0.14417600312319945,0.23101083659321398,1.0,False,False,excess,False,False,False
密度,10.0328,False,excess,6,2,0.019943,0.00428,4.66,0.015663,1.4979,17.9744,0.002845,0.031331,4.5503,0.03291309633861351,0.06590446401215833,1.0,False,False,excess,False,False,True
many,10.0328,False,excess,2,2,0.008547,0.00428,1.9972,0.004267,0.4993,7.9886,-0.002861,0.014241,0.0314,0.8594185485165475,0.9552876803312647,1.0,False,False,excess,False,False,False
ガイド-guide,9.8862,True,excess,83,28,0.239316,0.041369,5.7849,0.197947,4.0529,8.773,0.152324,0.244954,93.8504,3.402990203781325e-22,1.3595565899963484e-20,5.730635503167751e-19,True,True,excess,True,True,True
スタンド-stand,9.8077,True,excess,16,6,0.048433,0.009986,4.8502,0.038447,2.1787,13.9801,0.015655,0.062662,13.934,0.00018934280460189507,0.0007054276171451136,0.3188532829495913,True,False,excess,True,False,True
Wiki,9.6388,True,excess,14,7,0.042735,0.011412,3.7447,0.031323,1.7475,9.9858,0.009953,0.054119,9.2383,0.002369999416603732,0.006629699364718745,1.0,True,False,excess,True,False,True
Delivery,9.6388,True,excess,8,4,0.025641,0.007133,3.5949,0.018508,1.3314,12.9815,0.002833,0.037033,4.6469,0.031110461155802478,0.06350305040772287,1.0,False,False,excess,False,False,True
パイプライン,9.6002,True,excess,81,60,0.233618,0.087019,2.6847,0.1466,1.9686,3.628,0.098115,0.197878,41.3722,1.2583538065397266e-10,1.3244173813830623e-09,2.1190678102128995e-07,True,True,excess,True,True,True
Testing,9.5244,True,excess,4,14,0.014245,0.021398,0.6657,-0.007153,0.2102,1.6643,-0.021414,0.008531,0.5723,0.4493420267826058,0.5870379930969032,1.0,False,False,deficit,False,False,False
エンティティー-entity,9.4997,True,excess,27,19,0.079772,0.028531,2.796,0.051241,1.6266,5.0845,0.019898,0.084007,12.7573,0.0003546301919045619,0.0012389984298076394,0.5971972431672822,True,False,excess,True,False,True
見直し,9.4521,True,excess,31,13,0.091168,0.019971,4.5649,0.071197,2.6314,9.3873,0.042698,0.103962,26.7606,2.302848968986444e-07,1.508948507304736e-06,0.00038779976637731716,True,True,excess,True,True,True
効果,9.4364,True,excess,134,117,0.384615,0.168331,2.2849,0.216284,1.8693,2.8613,0.16073,0.271851,58.5088,2.023837312523351e-14,3.587517930830866e-13,3.408142034289323e-11,True,True,excess,True,True,True
対策,9.4164,True,excess,83,79,0.239316,0.114123,2.097,0.125194,1.6198,2.7907,0.079577,0.179325,26.6786,2.4026393231958646e-07,1.562179390062485e-06,0.0004046044620261836,True,True,excess,True,True,True
リレーショナル-relational,9.413,True,excess,37,24,0.108262,0.035663,3.0357,0.072599,1.8683,5.0606,0.038359,0.111079,20.4699,6.057503688469823e-06,3.063314177592547e-05,0.010200836211383181,True,True,excess,True,True,True
Top,9.2448,True,excess,14,8,0.042735,0.012839,3.3286,0.029896,1.4979,7.9886,0.008523,0.051309,7.9449,0.00482237995807173,0.012590523797508208,1.0,True,False,excess,True,False,True
頻発,9.2448,True,excess,11,5,0.034188,0.008559,3.9943,0.025629,1.6626,11.9995,0.007112,0.046998,7.624,0.005759699485725881,0.01454173003592561,1.0,True,False,excess,True,False,True
containers,8.9295,True,excess,1,4,0.005698,0.007133,0.7989,-0.001435,0.2496,2.9957,-0.008603,0.007116,0.0251,0.8740693647788055,0.9671043431586783,1.0,False,False,deficit,False,False,False
Compose,8.8507,True,excess,26,19,0.076923,0.028531,2.6962,0.048392,1.5977,4.8264,0.021321,0.079736,11.5187,0.0006890116037411115,0.002205885058365079,1.0,True,False,excess,True,False,True
Development,8.8507,True,excess,7,12,0.022792,0.018545,1.229,0.004247,0.4438,2.9957,-0.012859,0.022768,0.0067,0.9347622723817319,1.0,1.0,False,False,excess,False,False,False
CD,8.6266,True,excess,104,84,0.299145,0.121255,2.4671,0.17789,1.9354,3.2053,0.128029,0.229247,48.6146,3.1154752394069983e-12,4.163857383461416e-11,5.246460303161385e-09,True,True,excess,True,True,True
